names,members,birth_name,birth_place,birth_date,gender,category,spotify track artist audio.artist_name,spotify track artist audio.artist_id
Sick Puppies,"* Emma Anzai
* [[Mark Goodwin (musician)|Mark Goodwin]]
* Bryan Scott",,"[[Sydney]], Australia",,,,Sick Puppies,7qAcXJgt1PWnxwUgxMdyuk
Charles Mingus,,Charles Mingus Jr.,"Los Angeles, [[California]], U.S.",{{birth date|1922|4|22}},,,Charles Mingus,1W8TbFzNS15VwsempfY12H
Eisley,[[Sherri DuPree-Bemis]]<br/>[[Garron DuPree]],,"[[Tyler, Texas]], U.S.",,,,Eisley,2IL35FbYiOta150uSYBCEg
Mary Elizabeth McGlynn,,,"[[Newark, New Jersey]], US",{{Birth date and age|mf|=|yes|1966|10|16}},female,American_female_singers,Mary Elizabeth McGlynn,6QkgjazSEZ5trhl9wxYERp
Mazzy Star,[[Hope Sandoval]]<br/>Suki Ewers<br/>[[Colm Ó Cíosóig]]<br/>Josh Yenne,,"[[Santa Monica, California]], U.S.",,,,Mazzy Star,37w38cCSGgKLdayTRjna4W
Sex Pistols,,,"[[London]], England",,,,Sex Pistols,1u7kkVrr14iBvrpYnZILJR
Alice Deejay,"* Judith Anna Pronk
* [[Wessel van Diepen]]
* Dennis van den Driesschen
* [[Dash Berlin|Sebastiaan Molijn]]
* [[Dash Berlin|Eelke Kalberg]]
* [[DJ Jurgen|Jürgen Rijkers]]",,"[[Amsterdam]], Netherlands",,,,Alice Deejay,2tbvDi9eXf9XXp06LupkED
Tom Misch,,Thomas Abraham Misch,"[[London]], England",{{birth date and age|1995|06|25}},,,Tom Misch,1uiEZYehlNivdK3iQyAbye
La Roux,Elly Jackson,,"[[London]], England, United Kingdom",,,,La Roux,3K2zB87GZv1krx031en5VA
Swervedriver,"*[[Adam Franklin]]
*Jimmy Hartridge
*Mikey Jones
*[[Mick Quinn]]",,"[[Oxford]], England",,,,Swervedriver,0Sd7X8SxWV0AyDLbvd4uEu
Hot Chocolate,Patrick Olive<br />Tony Connor<br />Harvey Hinsley<br />Steve Ansell<br />Andy Smith<br />Kennie Simon,,"[[West Hampstead]], London, England",,,,Hot Chocolate,72VzFto8DYvKHocaHYNWSi
Nine Lashes,"* Jeremy Dunn 
* Adam ""Tank"" Jefferson
* Jared Lankford
* Joseph Andrew Jefferson
* Jon Jefferson
* Noah ""Cap'n"" Terrell",,"[[Birmingham, Alabama|Birmingham]], [[Alabama]], U.S.",,,,Nine Lashes,6L5kgEyFIlckHbMdRM2KXQ
Aesop Rock,,Ian Matthias Bavitz,"[[Northport, New York]], U.S.",{{birth date and age|1976|06|05}},male,American_male_rappers,Aesop Rock,2fSaE6BXtQy0x7R7v9IOmZ
Death Grips,"* [[MC Ride]]
* [[Zach Hill]]
* Andy Morin",,"[[Sacramento, California]], U.S.",,,,Death Grips,5RADpgYLOuS2ZxDq7ggYYH
Pet Shop Boys,[[Neil Tennant]]<br/>[[Chris Lowe]],,"[[London]], England",,,,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh
The Fixx,[[Cy Curnin]]<br/>Adam Woods<br/>Rupert Greenall<br/>Jamie West-Oram<br/>Dan K. Brown,,"[[London]], England",,,,The Fixx,53RkHTcl0SJZjpzqogkBf4
Led Zeppelin,,,"London, England",,,,Led Zeppelin,36QJpDe2go2KgaRleHCDTp
Evanescence,"* [[Amy Lee]]
* [[Tim McCord]]
* [[Will Hunt]]
* [[Troy McLawhorn]]
* [[Emma Anzai]]",,"[[Little Rock, Arkansas]], U.S.",,,,Evanescence,5nGIFgo0shDenQYSE0Sn7c
The Buggles,,,"[[Wimbledon, London]], England",,,,The Buggles,057gc1fxmJ2vkctjQJ7Tal
Bobby McFerrin,,Robert Keith McFerrin Jr.,"[[Manhattan]], [[New York City|New York]], U.S.",{{birth date and age|1950|03|11}},,,Bobby McFerrin,2FjkZT851ez950cyPjeYid
Supertramp,,,"[[London]], England",,,,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx
The Joy Formidable,"Rhiannon ""Ritzy"" Bryan<br /> Rhydian Dafydd Davies<br /> Matthew James Thomas",,"[[Mold, Flintshire]], Wales",,,,The Joy Formidable,4LdZNE5MHGqvc0N9ivXNF3
AmaLee,,Amanda Lee,,{{birth date and age|1992|03|13}},,,AmaLee,4sf4DrAOkheqktxTyKm7tO
Chocolate,,,,,,,Chocolate,4e3lv5qRgFpdILdEOHchbn
Jean Deaux,,Zoi Harris,"[[Chicago]], [[Illinois]], United States",{{birth date and age|1995|5|4}},,,Jean Deaux,4JqpJeNOhP6bAkolNMLwFg
Get Scared,"Nicholas Matthews<br />Johnny Braddock<br />Bradley ""Lloyd"" Iverson<br />Dan Juarez<br />Adam Virostko",,"[[Layton, Utah|Layton]], [[Utah]], U.S.",,,,Get Scared,5r9uIJCoquVtEkCkvcn8Ez
Local Natives,Taylor Rice<br/>Kelcey Ayer<br/>Ryan Hahn<br/>Matt Frazier<br/>Nik Ewing,,"[[Silver Lake, Los Angeles]], California, United States",,,,Local Natives,75dQReiBOHN37fQgWQrIAJ
Lou Rawls,,Louis Allen Rawls,"[[Chicago, Illinois]], U.S.",{{birth date|1933|12|1}},male,American_male_singers,Lou Rawls,1zJBFCev9UwOMcrZsLi2od
Snail's House,,Keitaro Ujiie,,"February 23, 1997",,,Snail's House,29O9ZebFa65aIEvMaW5pQY
Alexandra Stan,,Alexandra Ioana Stan,"[[Constanța]], [[Socialist Republic of Romania|Romania]]",{{birth date and age|1989|6|10|df|=|yes}},,,Alexandra Stan,0BmLNz4nSLfoWYW1cYsElL
Glenn Miller,,Alton Glenn Miller,"[[Clarinda, Iowa]], U.S.",{{Birth date|1904|3|1}},,,Glenn Miller,2aAHdB5HweT3mFcRzm0swc
Rick James,,James Ambrose Johnson Jr.,"[[Buffalo, New York]], U.S.",{{Birth date|1948|2|1}},male,African-American_male_singers,Rick James,0FrpdcVlJQqibaz5HfBUrL
Kacey Musgraves,,Kacey Lee Musgraves,"[[Golden, Texas]], U.S.",{{birth date and age|1988|8|21}},female,American_female_country_singers,Kacey Musgraves,70kkdajctXSbqSMJbQO424
Jeremy Soule,,,"[[Keokuk, Iowa]], U.S.",1975,,,Jeremy Soule,77yY2QmM6bYvjJ3y5L2R0v
Geowulf,"{{plainlist|
*Star Kendrick
*Toma Banjanin}}",,"[[Sunshine Coast, Queensland]], Australia",,,,Geowulf,01TQ6CLvPSOYGUqRQ3nWgZ
Patrice Rushen,,Patrice Louise Rushen,"[[Los Angeles]], California, U.S.",{{Birth date and age|mf|=|yes|1954|9|30}},female,African-American_female_singers,Patrice Rushen,1mNnxxnPfHQDOkFjnZmdkc
Clairo,,Claire Elizabeth Cottrill,"[[Carlisle, Massachusetts|Carlisle]], [[Massachusetts]], U.S.",{{birth date and age|1998|8|18}},,,Clairo,3l0CmX0FuQjFxr8SK7Vqag
Hana Vu,,,"[[Los Angeles, California]], [[United States]]",2000,,,Hana Vu,3diDUq8QMCCtx8a4Jy42aO
Édith Piaf,,Édith Giovanna Gassion,"[[Paris]], France",{{Birth date|df|=|yes|1915|12|19}},,,Édith Piaf,1WPcVNert9hn7mHsPKDn7j
Regina Spektor,,Regina Ilyinichna Spektor,"[[Moscow]], [[Russian Soviet Federative Socialist Republic|Russian SFSR]], [[Soviet Union]]",{{birth date and age|1980|2|18}},female,American_female_guitarists,Regina Spektor,3z6Gk257P9jNcZbBXJNX5i
Pink Floyd,"* [[David Gilmour]]
* [[Nick Mason]]",,"[[London]], England",,,,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9
A Great Big World,"* [[Ian Axel]]
* Chad King {{small|(born Vaccarino)}}",,"[[New York City]], [[New York State|New York]], United States",,,,A Great Big World,5xKp3UyavIBUsGy3DQdXeF
Edie Brickell & New Bohemians,Brandon Aly<br/>[[Brad Houser]]<br/>[[Edie Brickell]]<br/>Kenny Withrow<br/>John Bush,,"[[Dallas]], Texas, United States",,,,Edie Brickell & New Bohemians,4awU3JRQXIYoxabdwO92AU
Breakbot,,Thibaut Jean-Marie Michel Berland,[[France]],{{birth date and age|1981|10|05}},,,Breakbot,0iui2Be5CP8EWxvHYsVspL
Kaskade,,Ryan Gary Raddon,"[[Chicago]], [[Illinois]], U.S.",{{birth date and age|1971|02|25}},,,Kaskade,6TQj5BFPooTa08A7pk8AQ1
'Til Tuesday,,,"[[Boston]], [[Massachusetts]], U.S",,,,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP
Röyksopp,"* [[Svein Berge]]
* [[Torbjørn Brundtland]]",,"[[Tromsø]], [[Troms]], Norway",,,,Röyksopp,5nPOO9iTcrs9k6yFffPxjH
Streetlight Manifesto,[[Tomas Kalnoky]]<br />Jim Conti<br />Chris Thatcher<br />Mike Brown<br />Pete McCullough<br />Matt Stewart<br />Karl Lyden<br />Dan Ross,,"[[New Brunswick, New Jersey]], United States",,,,Streetlight Manifesto,1OKOTYGoCE2buxTYMegJp7
Iron & Wine,,Samuel Ervin Beam,"[[Chapin, South Carolina]], U.S.",{{Birth date and age|1974|7|26}},male,American_male_guitarists,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V
Quarterflash,{{ubl|Rindy Ross|Marv Ross}},,"[[Portland, Oregon]], U.S.",,,,Quarterflash,3VJakY5Yw5phAOF4Bada5v
Kill Hannah,,,"[[Chicago]], [[Illinois]], U.S.",,,,Kill Hannah,3s6SVwL2W0JLnIlwkjnU55
Unwritten Law,"* Scott Russo
* Jonny Grill
* Chris Lewis
* Scotty Mac
* Wade Youman",,"[[Poway, California]], United States",,,,Unwritten Law,30h6MvMZfHQ8yzYCbfHMMT
Kero Kero Bonito,"* Sarah Midori Perry
* Gus Lobban
* Jamie Bulled",,"[[South London]], United Kingdom",,,,Kero Kero Bonito,6OqhFYFJDnBBHas02HopPT
Fats Waller,,Thomas Wright Waller,"[[New York City]], U.S.",{{Birth date|1904|5|21}},,,Fats Waller,0DYWCXTkNqGFZIf67SrWEa
Cigarettes After Sex,"* Greg Gonzalez
* Jacob Tomsky
* Randall Miller",,"[[El Paso, Texas]], U.S.",,,,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj
Sammy Hagar,,Samuel Roy Hagar,"[[Salinas, California]], U.S.",{{Birth date and age|1947|10|13}},male,American_male_singer-songwriters,Sammy Hagar,1hXjTjJzZTXDZ75AclOo6N
Audiovent,,,"[[Calabasas, California]], U.S.",,,,Audiovent,7rLROMpngJJNjgA0QuFslW
The Arcs,[[Dan Auerbach]]<br/>[[Leon Michels]]<br/>[[Nick Movshon]]<br/>[[Homer Steinweiss]],,,,,,The Arcs,3mVWMgLc7bcyCBtL2ymZwK
VNV Nation,* [[Ronan Harris]],,"London, England",,,,VNV Nation,4KlYg0F5KG9QNDFKaeTNAy
Tennessee Ernie Ford,,Ernest Jennings Ford,"[[Bristol, Tennessee]]",{{birth date|1919|2|13}},male,American_country_singers,Tennessee Ernie Ford,7u6FSuqT3SWE2kO8rNVjfp
Neck Deep,"* Ben Barlow
* Matt West
* Sam Bowden
* Seb Barlow",,"[[Wrexham]], Wales, UK",,,,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH
Citizen King,,,"[[Milwaukee, Wisconsin]], [[United States]]",,,,Citizen King,2Ca9nb6MJ3lwyF7dRNJm3M
Wilco,[[Jeff Tweedy]]<br />[[John Stirratt]]<br />[[Glenn Kotche]]<br />[[Mikael Jorgensen]]<br />[[Nels Cline]]<br />[[Pat Sansone]],,"[[Chicago]], [[Illinois]], [[United States|U.S.]]",,,,Wilco,2QoU3awHVdcHS8LrZEKvSM
Bobby Caldwell,,Robert Hunter Caldwell,"[[New York City]], U.S.",{{Birth date and age|1951|8|15}},,,Bobby Caldwell,4V4Z3qMCwYofWHtip6ePF6
Thompson Twins,,,"[[Sheffield]], England",,,,Thompson Twins,5jVeqi3PNaTOajfvBa4uFn
A Perfect Circle,"* [[Maynard James Keenan]]
* [[Billy Howerdel]]
* [[James Iha]]
* [[Matt McJunkins]]
* Jeff Friedl",,"[[Los Angeles]], [[California]], U.S.",,,,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc
Stevie Ray Vaughan,,Stephen Ray Vaughan,"[[Dallas, Texas]], U.S.",{{Birth date|mf|=|yes|1954|10|3}},male,American_male_guitarists,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1
Buckethead,,Brian Patrick Carroll,"[[Pomona, California]], U.S.",{{Birth date and age|1969|5|13|mf|=|yes}},male,American_male_guitarists,Buckethead,0fDF0jjmdouCIeWhNnblwV
Unknown Mortal Orchestra,[[Ruban Nielson]]<br /> Jake Portrait <br /> Kody Nielson <br /> Chris Nielson <br /> Quincy McCrary,,"[[Auckland]], New Zealand",,,,Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp
Bad Bunny,,Benito Antonio Martínez Ocasio,"[[Almirante Sur]], [[Vega Baja, Puerto Rico|Vega Baja, Puerto Rico]]",{{Birth date and age|1994|3|10}},,,Bad Bunny,4q3ewBCX7sLwd24euuV69X
Julian Lennon,,John Charles Julian Lennon,"[[Liverpool]], England",{{Birth date and age|1963|4|8|df|=|yes}},male,English_male_singers,Julian Lennon,4Tvos0a5rRrBu4Oodu5f79
Thomas Newman,,Thomas Montgomery Newman,"Los Angeles, California, U.S.",{{birth date and age|mf|=|yes|1955|10|20}},,,Thomas Newman,1csBgT42N4pPPs1HJhxXIK
t.A.T.u.,,,"[[Moscow]], Russia",,,,t.A.T.u.,2Q3eZMfDQgT8MhPowKFXYO
Avenged Sevenfold,"* [[M. Shadows]]
* Zacky Vengeance
* [[Synyster Gates]]
* Johnny Christ
* [[Brooks Wackerman]]",,"[[Huntington Beach, California]], U.S.",,,,Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs
Assemblage 23,[[Tom Shear]]<br>Paul Seegers<br>Mike Jenney,,"[[Seattle]], Washington, United States",,,,Assemblage 23,7pwThElmrxl0pjTwXMojCx
Helena Noguerra,,,"[[Brussels]], Belgium",{{Birth date and age|df|=|yes|1969|5|18}},,,Helena Noguerra,4nclLyMzRhXUJvQU89sTm6
Muse,"* [[Matt Bellamy]]
* [[Chris Wolstenholme]]
* [[Dominic Howard]]",,"[[Teignmouth|Teignmouth, Devon]], England",,,,Muse,12Chz98pHFMPJEknJQMWvI
Lil Peep,,Gustav Elijah Åhr,"[[Allentown, Pennsylvania]], U.S.",{{birth date|1996|11|1}},,,Lil Peep,2kCcBybjl3SAtIcwdWpUe3
BTS,"* [[Kim Seok-jin|Jin]]
* [[Suga (rapper)|Suga]]
* [[J-Hope]]
* [[RM (rapper)|RM]]
* [[Jimin]]
* [[V (singer)|V]]
* [[Jungkook]]",,"[[Seoul]], South Korea",,,,BTS,3Nrfpe0tUJi4K4DXYWgMUX
Alexandre Desplat,,Alexandre Michel Gérard Desplat,"[[Paris]], France",{{Birth date and age|df|=|yes|1961|8|23}},,,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0
Kings of Leon,"* Caleb Followill
* Jared Followill
* Nathan Followill
* Matthew Followill",,"[[Nashville, Tennessee]], U.S.",,,,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx
Summer Heart,,,,,,,Summer Heart,0JlTFsR41vwvQTppOR3yio
MS MR,"* [[Lizzy Plapinger]] (MS)
* Max Hershenow (MR)",,"[[New York City]], United States",,,,MS MR,4XaUmUGjidSklcDHxv3XWf
Junip,[[José González (singer)|José González]] <br />Tobias Winterkorn,,"[[Vänersborg]], [[Sweden]]",,,,Junip,7HcipAIJatVGT4U6HQrnFW
Agnes Obel,,,"[[Berlin]], Germany",{{birth date and age|df|=|yes|1980|10|28}},,,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
Autoheart,"Jody Gadsden, Simon Neilson, Barney JC",,"[[London]], England",,,,Autoheart,5Lm1CMoa8VOCBCLZesAcvc
Hans Zimmer,,Hans Florian Zimmer,"[[Frankfurt]], [[West Germany]]",{{birth date and age|1957|09|12|df|=|y}},,,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ
Milo Greene,"* Robbie Arnett
* Graham Fink
* Curtis Marrero
* Marlana Sheetz",,"Los Angeles, California, U.S.",,,,Milo Greene,5euJsEvfrlfhYDorMR40OF
The Kooks,"{{plainlist|
*Luke Pritchard
*Hugh Harris
*Alexis Nuñez}}",,"[[Brighton]], England",,,,The Kooks,1GLtl8uqKmnyCWxHmw9tL4
The Wombats,"* [[Matthew Murphy]]
* Tord Øverland Knudsen
* Dan Haggis",,"[[Liverpool]], England",,,,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
Urban Cone,,,"Stockholm, Sweden",,,,Urban Cone,3WOOglGBDGvr6c2WBeMAWn
Iggy Pop,,James Newell Osterberg Jr.,"[[Muskegon, Michigan]], U.S.",{{Birth date and age|1947|04|21}},male,American_male_singers,Iggy Pop,33EUXrFKGjpUSGacqEHhU4
The Hives,"* [[Pelle Almqvist|Howlin' Pelle]]
* [[Niklas Almqvist|Nicholaus Arson]]
* [[Christian Grahn|Chris Dangerous]]
* [[Randy (band)|The Johan and Only]]
* [[Vigilante Carlstroem]]",,"[[Fagersta]], Sweden",,,,The Hives,4DToQR3aKrHQSSRzSz8Nzt
Tame Impala,"* [[Kevin Parker (musician)|Kevin Parker]]
* (see [[#Members|touring members]])",,"[[Perth]], [[Western Australia]], Australia",,,,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Grey Holiday,,,"[[Austin, Texas|Austin]], [[Texas]], U.S.",,,,Grey Holiday,62Z3jk6WVcNBHNa54DoXm3
The Royal Concept,"* David Larson 
* Filip Bekic 
* Magnus Robert
* Povel Olsson",,"[[Stockholm]], [[Sweden]]",,,,The Royal Concept,7LAucJAvbQa7ZIA0qP8YI2
Angus & Julia Stone,[[Angus Stone]]<br />[[Julia Stone]]<br />Rob Calder<br />Matt Johnson,,"Sydney, Australia",,,,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr
Radical Face,,,"[[Jacksonville, Florida]]",,,,Radical Face,5EM6xJN2QNk0cL7EEm9HR9
NONONO,"Stina Wäppling<br />Tobias ""Astma"" Jimson<br />Michel ""Rocwell"" Flygare",,"[[Stockholm]], Sweden",,,,NONONO,513t0jZUP0K98C4h7KHtEb
Bombay Bicycle Club,"* Suren de Saram
* Jamie MacColl
* Ed Nash
* [[Mr Jukes|Jack Steadman]]",,"[[London]], England",,,,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV
Kasabian,"* [[Serge Pizzorno|Sergio Pizzorno]]
* Chris Edwards
* [[Ian Matthews (drummer)|Ian Matthews]]
* Tim Carter",,"[[Leicester]], England",,,,Kasabian,11wRdbnoYqRddKBrpHt4Ue
The 1975,"* Matty Healy
* Adam Hann 
* Ross MacDonald
* George Daniel",,"[[Wilmslow|Wilmslow, Cheshire]], England",,,,The 1975,3mIj9lX2MWuHmhNCA7LSCW
Little Comets,Robert Coles<br />Michael Coles<br />Matthew Hall<br />Matt Saxon<br/>Nathan Greene,,"[[Tyne and Wear]], [[England]]",,,,Little Comets,7cfhZmKaLWzNLwHDxzugUH
Courteeners,"[[Liam Fray]]<br/>Michael Campbell<br/>Daniel ""Conan"" Moores",,"[[Middleton, Greater Manchester]], England",,,,Courteeners,1NfJU4hy56Z4UM4iyIa1B2
Broken Bells,[[James Mercer (musician)|James Mercer]]<br />[[Danger Mouse (musician)|Brian Burton]],,"[[Los Angeles]], [[California]], U.S.",,,,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG
The Mowgli's,,,"[[Calabasas, California]], U.S.",,,,The Mowgli's,6AGUQK1EWK6nvN4pLIDQDQ
The xx,"* [[Romy Madley Croft]]
* [[Oliver Sim]]
* [[Jamie xx]]",,"[[Wandsworth]], [[London]], England",,,,The xx,3iOvXCl6edW5Um0fXEBRXy
James Vincent McMorrow,,,"[[Dublin]], Ireland",{{birth date and age|1981|8|17|df|=|yes}},,,James Vincent McMorrow,7FDlvgcodNfC0IBdWevl4u
Lucy Rose,,Lucy Rose Parton,"[[Camberley]], [[Surrey]], England",{{birth date and age|df|=|yes|1989|06|20}},female,English_female_singers,Lucy Rose,2uvY5pgdD9t1CZ5zMNw1rl
Damien Rice,,,"[[Celbridge]], Ireland",{{birth date and age|df|=|y|1973|12|7}},male,Male_guitarists,Damien Rice,14r9dR01KeBLFfylVSKCZQ
Bon Iver,"* [[Justin Vernon]]
* [[S. Carey|Sean Carey]]
* Matthew McCaughan
* [[Michael Lewis (musician)|Michael Lewis]]
* Andrew Fitzpatrick",,"[[Eau Claire, Wisconsin]], U.S.",,,,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ
The Staves,Jessica Staveley-Taylor<br />Camilla Staveley-Taylor<br />Emily Staveley-Taylor,,"[[Watford]], [[Hertfordshire]], England",,,,The Staves,5G49Sq5mMzAkGL4ZP6eVPY
Ludovico Einaudi,,Ludovico Maria Enrico Einaudi,"[[Turin]], Piedmont, Italy",{{birth date and age|df|=|yes|1955|11|23}},,,Ludovico Einaudi,7lf4M8KM02hIiVGHKsAl2o
Imogen Heap,,Imogen Jennifer Heap,"[[Romford]], [[London]], England",{{Birth date and age|1977|12|9|df|=|y}},female,English_female_singer-songwriters,Imogen Heap,6Xb4ezwoAQC4516kI89nWz
Antoine Dufour,,,"[[L'Épiphanie]], [[Quebec]], Canada",{{birth year and age|1979}},,,Antoine Dufour,15kzFPO1n6iK1GqFaTDDBo
Alex Turner,,,"[[Sheffield]], England",{{birth date and age|df|=|yes|1986|01|06}},,,Alex Turner,1ctkBmvz80MGyi72Ix055S
Coco O.,,Cecilie Maja Hastrup Karshø,"[[Copenhagen]], Denmark",{{Birth based on age as of date|25|2013|08|28}},,,Coco O.,4cc6PmIfhsUCGJUU9QsxEy
London Grammar,"{{ubl|[[Hannah Reid]]|Dominic ""Dot"" Major|Dan Rothman}}",,"[[Nottingham]], England",,,,London Grammar,3Bd1cgCjtCI32PYvDC3ynO
Thirteen Senses,Will South<br/>Tom Welham<br/>Adam Wilson<br/>Brendon James,,"[[Penzance]], [[Cornwall]], United Kingdom",,,,Thirteen Senses,766wIvoqqGrjRDnExOjJls
Swedish House Mafia,"* [[Axwell]]
* [[Steve Angello]]
* [[Sebastian Ingrosso]]",,"[[Stockholm]], Sweden",,,,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs
Arcade Fire,"{{plainlist|
* [[Win Butler]]
* [[Régine Chassagne]]
* [[Richard Reed Parry]]
* [[Tim Kingsbury]]
* [[Jeremy Gara]]|<!--Sarah Neufeld is NOT a member of the band; she only performs live with them, which means she does not belong in this field.-->}}",,"[[Montreal|Montreal, Quebec]], Canada",,,,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB
The Downtown Fiction,,,"[[City of Fairfax, Virginia|Fairfax]], [[Virginia]], [[United States]]",,,,The Downtown Fiction,7MRDkEKtdsGcYn11A4qgUL
Gotye,,Wouter André De Backer,"[[Melbourne]], Victoria, Australia",{{Birth date and age|df|=|yes|1980|5|21}},male,Australian_male_singers,Gotye,2AsusXITU8P25dlRNhcAbG
CHVRCHES,"* [[Iain Cook]]
* [[Martin Doherty]]
* [[Lauren Mayberry]]",,"[[Glasgow]], Scotland",,,,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
Matt Corby,,Matthew John Corby,"[[Oyster Bay, New South Wales]], Australia",{{birth date and age|df|=|yes|1990|11|7}},male,Australian_male_singers,Matt Corby,7CIW23FQUXPc1zebnO1TDG
Nancy Sinatra,,Nancy Sandra Sinatra,"[[Jersey City, New Jersey|Jersey City]], [[New Jersey]], U.S.",{{birth date and age|1940|6|8}},female,American_female_country_singers,Nancy Sinatra,3IZrrNonYELubLPJmqOci2
The Kills,"[[Alison Mosshart]]<br />
[[Jamie Hince]]",,,,,,The Kills,5BYuBzqmTXwUDw2rYkwExr
Black Rebel Motorcycle Club,"* [[Peter Hayes (musician)|Peter Hayes]]
* [[Robert Levon Been]]
* Leah Shapiro",,"[[San Francisco]], [[California]], U.S.",,,,Black Rebel Motorcycle Club,1tpXaFf2F55E7kVJON4j4G
RyanDan,Ryan Kowarsky<br />Dan Kowarsky,,"Toronto, Ontario, Canada","{{Birth date and age|1979|12|5|mf|=|y}} <br />[[Cincinnati]], [[Ohio]], U.S.",,,RyanDan,37Zo7giTfDT9eYpWZdaOi0
Within Temptation,"* [[Sharon den Adel]]
* [[Robert Westerholt]] (studio only)
* Jeroen van Veen
* [[Ruud Jolie]]
* [[Martijn Spierenburg]]
* Mike Coolen
* Stefan Helleblad",,"[[Waddinxveen]], Netherlands",,,,Within Temptation,3hE8S8ohRErocpkY7uJW4a
The Flaming Lips,"* [[Wayne Coyne]]
* [[Steven Drozd]]
* Derek Brown
* Matt Kirksey
* Nicholas Ley",,"[[Oklahoma City, Oklahoma]], U.S.",,,,The Flaming Lips,16eRpMNXSQ15wuJoeqguaB
The Secret Sisters,Laura Rogers<br>Lydia Slagle (née Rogers),,,,,,The Secret Sisters,5fIZHCg2de8322HZodBDWL
Wolf Gang,,,"[[London]], England",,,,Wolf Gang,6EkvDqOOEX08BotcQppKoD
Blue Foundation,[[Tobias Wilner]] <br /> [[Bo Rande]],,,,,,Blue Foundation,1FWybrAwiSa0zKibdLfZZr
65daysofstatic,Joe Shrewsbury<br />Paul Wolinski<br />Rob Jones<br />Simon Wright,,"[[Sheffield]], England",,,,65daysofstatic,6DVVsQAnpHdJjb1nYuOQ6g
The New Pornographers,{{ubl|[[Kathryn Calder]]|[[Neko Case]]|[[John Collins (Canadian musician)|John Collins]]|[[Todd Fancey]]|[[Carl Newman]]|[[Joe Seiders]]|[[Dan Bejar]]}},,"[[Vancouver]], Canada",,,,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW
Lord Huron,Ben Schneider<br>Mark Barry<br>Miguel Briseño<br>Tom Renaud,,"[[Los Angeles, California]], [[United States]]",,,,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25
Boy & Bear,Dave Hosking<br />Killian Gavin<br />[[Tim Hart (Australian musician)|Tim Hart]]<br />Jon Hart<br />Dave Symes,,"[[Sydney]], [[New South Wales]], Australia",,,,Boy & Bear,2NqgE99Ll5vOTvmbN7O2R6
Lykke Li,,Li Lykke Timotej Zachrisson,"[[Ystad]], [[Skåne County]], Sweden",{{birth date and age|1986|3|18|df|=|yes}},female,Swedish_female_singers,Lykke Li,6oBm8HB0yfrIc9IHbxs6in
Tom Odell,,Thomas Peter Odell,"[[Chichester]], [[West Sussex]], England",{{Birth date and age|df|=|yes|1990|11|24}},male,English_male_singers,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
Elvin Bishop,,Elvin Richard Bishop,"[[Chicago, Illinois]]",{{Birth date and age|1942|10|21}},male,American_male_guitarists,Elvin Bishop,2G1yVp387GlUf9yvLk6V11
10cc,[[Graham Gouldman]]<br>[[Paul Burgess (musician)|Paul Burgess]]<br>[[Rick Fenn]]<br>Keith Hayman<br>Iain Hornal,,"[[Stockport]], England",,,,10cc,6i6WlGzQtXtz7GcC5H5st5
Henry Jackman,,Henry Pryce Jackman,"[[Hillingdon, London]], England",{{birth year and age|1974}},male,English_male_composers,Henry Jackman,5SEW04tNMMrOz7UFQJA6vz
Niki & The Dove,Malin Dahlström<br>Gustaf Karlöf,,"[[Stockholm]], Sweden",,,,Niki & The Dove,4hiLNlqr4vQdiuo1aQKSXS
Dead Man's Bones,"[[Ryan Gosling|Ryan ""Baby Goose"" Gosling]]<br />Zach Shields",,"[[Los Angeles]], [[California]],<br />United States",,,,Dead Man's Bones,66uU7VPJQ8eC06LAZyqYYk
Susanne Sundfør,,,"[[Haugesund]], [[Norway]]",{{birth date and age|1986|03|19|df|=|y}},,,Susanne Sundfør,54KCNI7URCrG6yjQK3Ukow
